Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-09-11,1119.0,1132.800048828125,1117.010009765625,1122.760009765625,1102.126953125,1313930,0.0,0.0
2023-09-12,1127.989990234375,1143.4000244140625,1125.199951171875,1134.760009765625,1113.9063720703125,2581215,0.0,0.0
2023-09-13,1142.0,1151.9000244140625,1134.260009765625,1147.780029296875,1126.6871337890625,1571615,0.0,0.0
2023-09-14,1154.0,1155.260009765625,1140.9100341796875,1148.9300537109375,1127.8160400390625,1139730,0.0,0.0
2023-09-15,1155.3199462890625,1168.5699462890625,1146.6199951171875,1163.9000244140625,1142.510986328125,2069105,0.0,0.0
2023-09-18,1164.199951171875,1165.760009765625,1144.3800048828125,1145.5999755859375,1124.5472412109375,1256740,0.0,0.0
2023-09-20,1144.3699951171875,1144.3699951171875,1120.4000244140625,1123.010009765625,1102.372314453125,2266405,0.0,0.0
2023-09-21,1123.0999755859375,1139.4000244140625,1122.5699462890625,1133.699951171875,1112.8658447265625,2926715,0.0,0.0
2023-09-22,1133.699951171875,1138.780029296875,1100.4000244140625,1103.4100341796875,1083.132568359375,2447785,0.0,0.0
2023-09-25,1105.969970703125,1107.97998046875,1085.5999755859375,1087.75,1067.76025390625,1217045,0.0,0.0
2023-09-26,1091.800048828125,1105.3900146484375,1089.800048828125,1093.550048828125,1073.4537353515625,1379915,0.0,0.0
2023-09-27,1102.800048828125,1121.0,1096.010009765625,1099.2900390625,1079.088134765625,2443890,0.0,0.0
2023-09-28,1101.489990234375,1101.489990234375,1082.199951171875,1085.8199462890625,1065.86572265625,1931555,0.0,0.0
2023-09-29,1093.800048828125,1126.0,1090.6500244140625,1117.4000244140625,1096.8653564453125,3101955,0.0,0.0
2023-10-03,1117.3800048828125,1117.3800048828125,1090.0,1092.3399658203125,1072.265869140625,2065240,0.0,0.0
2023-10-04,1093.0,1099.800048828125,1080.300048828125,1083.56005859375,1063.6474609375,2109530,0.0,0.0
2023-10-05,1092.0,1095.0,1080.0,1081.449951171875,1061.5760498046875,2058530,0.0,0.0
2023-10-06,1087.0,1097.43994140625,1081.8399658203125,1084.97998046875,1065.0411376953125,1572990,0.0,0.0
2023-10-09,1082.010009765625,1105.469970703125,1080.030029296875,1098.969970703125,1078.774169921875,2368110,0.0,0.0
2023-10-10,1096.800048828125,1097.4000244140625,1085.5999755859375,1095.7099609375,1075.573974609375,1519630,0.0,0.0
2023-10-11,1102.0,1117.5999755859375,1102.0,1113.52001953125,1093.0567626953125,1961240,0.0,0.0
2023-10-12,1113.52001953125,1116.81005859375,1103.0,1106.0400390625,1085.7142333984375,1695245,0.0,0.0
2023-10-13,1085.43994140625,1104.8199462890625,1084.3199462890625,1092.0400390625,1071.9715576171875,1633255,0.0,0.0
2023-10-16,1097.800048828125,1101.4000244140625,1092.0,1098.6199951171875,1078.4305419921875,859220,0.0,0.0
2023-10-17,1097.4000244140625,1114.5999755859375,1097.010009765625,1108.8199462890625,1088.4429931640625,1626760,0.0,0.0
2023-10-18,1108.9000244140625,1138.949951171875,1108.3599853515625,1135.489990234375,1114.6229248046875,3014855,0.0,0.0
2023-10-19,1134.949951171875,1134.949951171875,1122.0999755859375,1126.1800537109375,1105.484130859375,2525845,0.0,0.0
2023-10-20,1124.010009765625,1124.010009765625,1110.199951171875,1113.8599853515625,1093.390380859375,1141375,0.0,0.0
2023-10-23,1105.0999755859375,1133.3900146484375,1105.0999755859375,1110.3900146484375,1089.984130859375,1809785,0.0,0.0
2023-10-25,1120.0,1122.43994140625,1100.0,1102.77001953125,1082.5042724609375,2104480,0.0,0.0
2023-10-26,1099.5999755859375,1103.5,1068.1800537109375,1084.3900146484375,1064.4620361328125,1544145,0.0,0.0
