path,ext,size_bytes,sha256,readable,n_rows,date_col,date_range,has_ohlcv_fields,has_symbol_identifier,top_level_type,n_items
backtest_results\trades_20260911_232733.csv,.csv,46856,d3724fe2747375d40fc8e44ace1189590472bc3c9d822c39aaf33a78863c6fb8,True,414.0,signal_date,2025-07-02 to 2026-06-08,False,True,,
backtest_results\trades_20260911_232937.csv,.csv,971479,1b40c80d62af478fa6e4d2ed7367296e1a91e0e43e9dd25b082abe2570f19b49,True,8771.0,signal_date,2024-07-09 to 2026-06-08,False,True,,
backtest_results\trades_20260913_151858.csv,.csv,54007,ef273bffa9e4381c16c00576c2e116ef47a90306925499fcdec9fdb68ef8d1bc,True,397.0,signal_date,2025-07-02 to 2026-06-08,False,True,,
backtest_results\trades_20260913_152145.csv,.csv,1419622,09ef7a20af481305d682ed17f796b6adddcf39342e93cac22a747206aa97492b,True,10617.0,signal_date,2024-07-09 to 2026-06-08,False,True,,
backtest_results\trades_20260913_152332.csv,.csv,1419622,7e6b5fa893b76125614f8483e32a159da5a7c78ebb24db012f056cbc4c23f956,True,10617.0,signal_date,2024-07-09 to 2026-06-08,False,True,,
backtest_results\trades_20260913_154720.csv,.csv,66669,46df099034e4cc0e6fc8ef7d0b5eaa1d55a1269b92f702541cbbc51fd428d0a9,True,492.0,signal_date,2025-07-02 to 2026-06-08,False,True,,
backtest_results\trades_20260913_154812.csv,.csv,1444135,9a1e110b0984c0d9da30664be481f3270ab674f9cc36686648f167779378ecfe,True,10814.0,signal_date,2024-07-09 to 2026-06-08,False,True,,
research\results\master_dataset_20260913_160403.csv,.csv,1033309,c9fbfa1e03737c0d06be748be1e09f3968e3af2487fb59055d67df82624640fa,True,3712.0,date,2025-07-02 to 2026-06-08,False,True,,
research\results\master_dataset_20260913_160445.csv,.csv,1033309,c9fbfa1e03737c0d06be748be1e09f3968e3af2487fb59055d67df82624640fa,True,3712.0,date,2025-07-02 to 2026-06-08,False,True,,
research\results\master_dataset_20260913_160607.csv,.csv,13531691,68781306b109026e612a76b5859622193c95dd3102660f8f6ad4d8f643c9497d,True,48552.0,date,2024-07-09 to 2026-06-08,False,True,,
research\results\reliability_bootstrap_draws_excl_top-3_symbols_20260913_171735.csv,.csv,763108,bf5a18c6550318f8c396b94e13510a7b400c25b0f5843b16e1e3312a16e65ad7,True,20000.0,,,False,False,,
research\results\reliability_bootstrap_draws_primary_20260913_171735.csv,.csv,768709,af59a63e2f400a56254ec868263ebf5012f1917d07826780cc84c1033101792b,True,20000.0,,,False,False,,
research\results\reliability_null_draws_excl_top-3_symbols_20260913_171735.csv,.csv,3957208,130bdd20cfa7b1b1c5d1d1e130ec52b212df51472c340e602fa5adc8d56aef64,True,100000.0,,,False,False,,
research\results\reliability_null_draws_primary_20260913_171735.csv,.csv,3958103,7dd03c0582bc68075b18a341a67191f9a38891346c8810131b9b140ab68d794c,True,100000.0,,,False,False,,
research\results\resistance_master_20260913_164146.csv,.csv,17216068,7d6d623480e64c37ac606f45909074134b96257630f43230a51b476f5981e6c7,True,48552.0,date,2024-07-09 to 2026-06-08,False,True,,
research\results\resistance_trades_20260913_164146.csv,.csv,624033,05b11415a0979d224048e6e993d24c9a064f25a7b622e13a60ab5bbfe9026369,True,2083.0,signal_date,2024-07-09 to 2026-06-03,False,True,,
research\results\scheduler_attribution_states_20260913_192107.csv,.csv,27679,b6598774edcc543ab84bceb765ee388acf0b2b1578b012d5db94c37874179cf7,True,204.0,date,2026-06-05 to 2026-06-08,False,True,,
research\results\scheduler_reproducibility_xcheck_20260913_193211.csv,.csv,886,1f035bdeae2e3c6a4745943e306c3c09901a3bc986c5663d8f591492a721a0bd,True,7.0,date,2026-06-05 to 2026-06-08,False,True,,
research\results\scheduler_reproducibility_xcheck_20260913_193245.csv,.csv,886,1f035bdeae2e3c6a4745943e306c3c09901a3bc986c5663d8f591492a721a0bd,True,7.0,date,2026-06-05 to 2026-06-08,False,True,,
research\results\support_master_20260913_163058.csv,.csv,2313840,417aac8ca3f6ace422421c8b71ab8911105ddbe379ecfc786dc016c88dc38081,True,7616.0,date,2024-07-09 to 2026-06-08,False,True,,
research\results\support_master_20260913_163205.csv,.csv,14808632,401405fc90a3a5cf717c4d98e5498dc0ad2f4e5dbdf219dd6be4b82e69ce6641,True,48552.0,date,2024-07-09 to 2026-06-08,False,True,,
research\results\support_trades_20260913_163058.csv,.csv,90502,216293e6a61e9181a50218b4ac1a6cd6e4d2881c55bd51189e3f9ab71cdf22f4,True,304.0,signal_date,2024-07-09 to 2026-06-02,False,True,,
research\results\support_trades_20260913_163205.csv,.csv,618654,91b96d119e4dc4ea202e66d6b899935d37abcf9fd8cd24c3c089b4a1e8088871,True,2083.0,signal_date,2024-07-09 to 2026-06-03,False,True,,
research\results\volatility_trades_20260913_162406.csv,.csv,67706,a5aea1cd0a0c534dc64a1727efe23df8a8ee5d0e59a17acbc29b9cf005c82ea9,True,304.0,signal_date,2024-07-09 to 2026-06-02,False,True,,
research\results\volatility_trades_20260913_162448.csv,.csv,464980,117670267460002f1db4e61fe1fb838133442787b9a380a8c2450e1b33b9dfe0,True,2083.0,signal_date,2024-07-09 to 2026-06-03,False,True,,
state\open_positions.json,.json,2906,73104b4e23ef936bbb90c822ebe050abb37806477f2b2bb3da77f57f2eec827e,True,,,,False,True,list,12.0
