symbol,category,date,gate_bucket,score,grade,signal,rr_ratio,chase_flag,regime,state,blocking_signal_date,blocking_entry_date,blocking_exit_date,blocking_exit_reason,blocking_category
ADANIENT,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),54.5,,NO TRADE,0.32,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ADANIENT,Short-Term (Swing),2026-06-08,score<40,33.1,,NO TRADE,0.92,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ADANIPORTS,Short-Term (Swing),2026-06-05,score<40,38.3,,NO TRADE,0.58,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ADANIPORTS,Short-Term (Swing),2026-06-08,score<40,36.1,,NO TRADE,0.88,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
APOLLOHOSP,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),43.1,,NO TRADE,0.94,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
APOLLOHOSP,Short-Term (Swing),2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),50.6,,NO TRADE,0.86,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ASIANPAINT,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),46.5,,NO TRADE,1.3,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ASIANPAINT,Short-Term (Swing),2026-06-08,score<40,29.0,,NO TRADE,1.33,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
AXISBANK,Short-Term (Swing),2026-06-05,score<40,38.5,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
AXISBANK,Short-Term (Swing),2026-06-08,score<40,19.9,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJ-AUTO,Short-Term (Swing),2026-06-05,score<40,17.7,,NO TRADE,1.52,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJ-AUTO,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,2.31,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJFINANCE,Short-Term (Swing),2026-06-05,score<40,39.5,,NO TRADE,1.43,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJFINANCE,Short-Term (Swing),2026-06-08,score<40,22.0,,NO TRADE,3.17,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJFINSV,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),46.2,,NO TRADE,4.1,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJFINSV,Short-Term (Swing),2026-06-08,score<40,22.2,,NO TRADE,3.53,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BEL,Short-Term (Swing),2026-06-05,score<40,18.0,,NO TRADE,1.75,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BEL,Short-Term (Swing),2026-06-08,score<40,25.8,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BHARTIARTL,Short-Term (Swing),2026-06-05,score<40,18.7,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BHARTIARTL,Short-Term (Swing),2026-06-08,score<40,32.3,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
CIPLA,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),43.5,,NO TRADE,1.32,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
CIPLA,Short-Term (Swing),2026-06-08,score<40,17.8,,NO TRADE,1.33,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
COALINDIA,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-06-01,2026-06-02,2026-06-10,stop_loss,Short-Term (Swing)
COALINDIA,Short-Term (Swing),2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-06-01,2026-06-02,2026-06-10,stop_loss,Short-Term (Swing)
DRREDDY,Short-Term (Swing),2026-06-05,score<40,29.4,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
DRREDDY,Short-Term (Swing),2026-06-08,score<40,19.9,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
EICHERMOT,Short-Term (Swing),2026-06-05,score<40,17.5,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
EICHERMOT,Short-Term (Swing),2026-06-08,score<40,18.1,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ETERNAL,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),55.5,,NO TRADE,0.43,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ETERNAL,Short-Term (Swing),2026-06-08,score<40,39.7,,NO TRADE,1.13,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
GRASIM,Short-Term (Swing),2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-05-29,2026-06-01,2026-07-10,target1,Short-Term (Swing)
GRASIM,Short-Term (Swing),2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-05-29,2026-06-01,2026-07-10,target1,Short-Term (Swing)
HCLTECH,Short-Term (Swing),2026-06-05,score<40,27.0,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HCLTECH,Short-Term (Swing),2026-06-08,score<40,26.6,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCBANK,Short-Term (Swing),2026-06-05,score<40,22.1,,NO TRADE,1.83,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCBANK,Short-Term (Swing),2026-06-08,score<40,25.6,,NO TRADE,3.45,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCLIFE,Short-Term (Swing),2026-06-05,score<40,37.6,,NO TRADE,3.3,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCLIFE,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,3.62,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HEROMOTOCO,Short-Term (Swing),2026-06-05,score<40,28.5,,NO TRADE,2.41,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HEROMOTOCO,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,5.01,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDALCO,Short-Term (Swing),2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-06-01,2026-06-02,2026-06-05,stop_loss,Short-Term (Swing)
HINDALCO,Short-Term (Swing),2026-06-08,score<40,17.9,,NO TRADE,1.43,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDUNILVR,Short-Term (Swing),2026-06-05,score<40,21.8,,NO TRADE,1.47,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDUNILVR,Short-Term (Swing),2026-06-08,score<40,16.6,,NO TRADE,1.74,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ICICIBANK,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),40.4,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ICICIBANK,Short-Term (Swing),2026-06-08,score<40,28.9,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
