Date,Symbol,Category,Score,LastPrice,EntryLow,EntryHigh,Target1,Target1Pct,Target2,Target2Pct,StopLoss,StopLossPct,RRRatio,Horizon,Reasons,DataNote
2026-09-14,ADANIPORTS,Intraday,80.0,1764.6,1759.97,1772.32,1780.54,0.9,1791.17,1.51,1751.32,-0.75,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~1763.5) -- bullish breakout setup. | Intraday volume running 1.6x its recent average -- confirms the move. | Daily RSI(14) at 59 supports further upside without being extended. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-14,KOTAKBANK,Intraday,80.0,419.0,414.17,417.07,421.93,0.7,423.88,1.16,416.56,-0.58,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~415.0) -- bullish breakout setup. | Intraday volume running 2.9x its recent average -- confirms the move. | Daily RSI(14) at 60 supports further upside without being extended. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-14,TITAN,Intraday,80.0,5009.5,4977.03,5011.93,5041.35,0.64,5062.58,1.06,4982.96,-0.53,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~4987.0) -- bullish breakout setup. | Intraday volume running 2.8x its recent average -- confirms the move. | Daily RSI(14) at 51 supports further upside without being extended. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-16,AXISBANK,Intraday,67.5,1243.8,1232.73,1241.38,1253.2,0.76,1259.47,1.26,1235.97,-0.63,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~1235.2) -- bullish breakout setup. | Opened with a healthy gap-up of 0.4% and holding. | Daily RSI(14) at 48 supports further upside without being extended. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-16,SUNPHARMA,Intraday,60.5,1853.5,1848.2,1861.16,1865.8,0.66,1874.0,1.11,1843.25,-0.55,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~1851.9) -- bullish breakout setup. | Opened with a healthy gap-up of 0.5% and holding. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-17,DRREDDY,Intraday,82.5,1175.7,1152.09,1160.17,1184.99,0.79,1191.18,1.32,1167.96,-0.66,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~1154.4) -- bullish breakout setup. | Intraday volume running 1.8x its recent average -- confirms the move. | Opened with a healthy gap-up of 0.3% and holding. | Daily RSI(14) at 53 supports further upside without being extended. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar. | Price has moved >1.2x ATR beyond the ideal entry zone -- ENTRY MISSED -- DO NOT CHASE.,NSE quote unavailable; using Yahoo Finance only.
2026-09-17,ASIANPAINT,Intraday,75.5,2446.8,2436.12,2453.2,2465.75,0.77,2478.38,1.29,2431.01,-0.65,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~2441.0) -- bullish breakout setup. | Intraday volume running 2.2x its recent average -- confirms the move. | Opened with a healthy gap-up of 0.8% and holding. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-17,BEL,Intraday,75.5,393.7,392.71,395.47,396.93,0.82,399.08,1.37,391.01,-0.68,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~393.5) -- bullish breakout setup. | Intraday volume running 1.6x its recent average -- confirms the move. | Opened with a healthy gap-up of 0.3% and holding. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-18,ADANIPORTS,Intraday,75.0,1778.1,1751.29,1763.57,1793.42,0.86,1803.64,1.44,1765.33,-0.72,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~1754.8) -- bullish breakout setup. | Opened with a healthy gap-up of 0.7% and holding. | Daily RSI(14) at 59 supports further upside without being extended. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
2026-09-18,ADANIENT,Intraday,67.5,2985.5,2951.19,2971.89,3018.47,1.1,3040.45,1.84,2958.02,-0.92,1.2,Intraday -- square off same session,Market regime (NIFTY 50): STRONG_BEARISH. | Trading above today's VWAP -- intraday buyers in control. | Broken above the opening-range high (~2957.1) -- bullish breakout setup. | Opened with a healthy gap-up of 0.5% and holding. | Daily RSI(14) at 49 supports further upside without being extended. | Risk:Reward to Target 1 is only 1.20:1 -- below the 1.5:1 minimum bar.,NSE quote unavailable; using Yahoo Finance only.
